It took 23.9388029575 seconds to calculate the Mandelbrot graph.
It took 0.235138893127 seconds to dump the image.
         558867 function calls (553552 primitive calls) in 24.738 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.007    0.007 decimal.py:116(<module>)
      367    0.001    0.000    0.006    0.000 sre_compile.py:228(_compile_charset)
      140    0.001    0.000    0.006    0.000 transforms.py:1518(transform_point)
     5662    0.005    0.000    0.006    0.000 sre_parse.py:194(__next)
        1    0.004    0.004    0.006    0.006 backend_bases.py:33(<module>)
        1    0.006    0.006    0.006    0.006 socket.py:45(<module>)
        1    0.001    0.001    0.006    0.006 patches.py:3(<module>)
       10    0.000    0.000    0.006    0.001 pyparsing.py:5103(__init__)
        1    0.000    0.000    0.006    0.006 colors.py:835(_init)
        1    0.000    0.000    0.006    0.006 colors.py:346(to_rgba_array)
        1    0.001    0.001    0.006    0.006 colors.py:236(to_rgba_array)
     32/9    0.000    0.000    0.006    0.001 pyparsing.py:4449(leaveWhitespace)
        4    0.000    0.000    0.006    0.001 axis.py:2500(get_tick_space)
        1    0.002    0.002    0.006    0.006 _base.py:1(<module>)
     2003    0.002    0.000    0.006    0.000 colors.py:110(_is_nth_color)
3908/3179    0.003    0.000    0.006    0.000 artist.py:230(stale)
      410    0.000    0.000    0.006    0.000 pyparsing.py:1417(copy)
       16    0.001    0.000    0.006    0.000 {eval}
        8    0.000    0.000    0.006    0.001 axis.py:844(set_tick_params)
     1667    0.002    0.000    0.006    0.000 re.py:138(match)
      605    0.001    0.000    0.006    0.000 inspect.py:813(getargspec)
        1    0.003    0.003    0.006    0.006 collections.py:11(<module>)
        1    0.000    0.000    0.005    0.005 font_manager.py:986(json_load)
       12    0.000    0.000    0.005    0.000 artist.py:1071(__init__)
        2    0.000    0.000    0.005    0.003 _base.py:2706(grid)
      126    0.000    0.000    0.005    0.000 markers.py:169(__init__)
        4    0.000    0.000    0.005    0.001 axis.py:1423(grid)
        1    0.000    0.000    0.005    0.005 __init__.py:258(load)
      144    0.001    0.000    0.005    0.000 transforms.py:1425(transform)
      244    0.000    0.000    0.005    0.000 rcsetup.py:359(validate_color_for_prop_cycle)
      411    0.001    0.000    0.005    0.000 copy.py:66(copy)
      202    0.001    0.000    0.005    0.000 __init__.py:993(dedent)
       12    0.002    0.000    0.005    0.000 artist.py:1091(get_aliases)
        1    0.005    0.005    0.005    0.005 urllib.py:23(<module>)
        1    0.000    0.000    0.005    0.005 _axes.py:96(Axes)
      572    0.000    0.000    0.005    0.000 colors.py:333(to_rgba)
      367    0.003    0.000    0.005    0.000 sre_compile.py:256(_optimize_charset)
    10778    0.003    0.000    0.005    0.000 mathtext.py:2757(<genexpr>)
        1    0.000    0.000    0.005    0.005 platform.py:10(<module>)
       65    0.000    0.000    0.005    0.000 contextlib.py:15(__enter__)
      158    0.001    0.000    0.005    0.000 textwrap.py:374(dedent)
      525    0.002    0.000    0.005    0.000 fromnumeric.py:69(_wrapreduction)
